year,quarter,delay_status,total_sales,proportion
2018,1,long_delay,3343685371.19,0.20428432769913696
2018,1,no_delay,12792874276.63,0.7815878083083077
2018,1,short_delay,231242076.62,0.014127863992555273
2018,2,long_delay,156617241.01,0.009279620449015301
2018,2,no_delay,16662865241.050001,0.987279970154506
2018,2,short_delay,58065675.269999996,0.003440409396478705
2018,3,long_delay,185013038.29,0.022401748922875636
2018,3,no_delay,8040036644.71,0.9735037266032939
2018,3,short_delay,33816128.19,0.004094524473830568
2016,4,no_delay,236477616.7,1.0
2017,1,long_delay,75202425.44,0.01814970841298553
2017,1,no_delay,4067758529.1600003,0.981732048756763
2017,1,short_delay,489933.36000000004,0.00011824283025138385
2017,2,long_delay,139553064.61,0.02197147655152781
2017,2,no_delay,6172859256.4800005,0.9718656683653585
2017,2,short_delay,39143719.43,0.006162855083113667
2017,3,long_delay,176101252.59,0.02186785096006823
2017,3,no_delay,7876137494.139999,0.9780407483179888
2017,3,short_delay,736047.71,9.140072194292574e-05
2017,4,long_delay,1111535199.56,0.0346435937482362
2017,4,no_delay,30669267227.35,0.9558794312595723
2017,4,short_delay,304067510.02,0.009476974992191422
2018,1,long_delay,1945744787.72,0.07067637169353011
2018,1,no_delay,24596492339.54,0.8934320913604606
2018,1,short_delay,988106339.6800001,0.035891536946009196
2018,2,long_delay,221010779.85000002,0.01104667757300443
2018,2,no_delay,19758176113.55,0.9875635980523625
2018,2,short_delay,27804203.19,0.0013897243746331734
2018,3,long_delay,28830899.59,0.0005110591156156947
2018,3,no_delay,56350829575.590004,0.9988798662772409
2018,3,short_delay,34360347.57,0.0006090746071434702
2016,4,long_delay,1643959.8900000001,0.031078063754498852
2016,4,no_delay,51253797.93,0.9689219362455012
2017,1,long_delay,99291116.89,0.021507792191570282
2017,1,no_delay,4517018882.57,0.9784470806118915
2017,1,short_delay,208330.53,4.512719653827331e-05
2017,2,long_delay,253252441.47,0.04234692986942425
2017,2,no_delay,5698617610.86,0.9528791071826281
2017,2,short_delay,28550305.2,0.00477396294794764
2017,3,long_delay,106066561.12,0.008032077021015075
2017,3,no_delay,13049048183.41,0.9881621403894343
2017,3,short_delay,50256773.01,0.003805782589550515
2017,4,long_delay,1110718198.36,0.0621857763725922
2017,4,no_delay,16713338651.630001,0.9357296399431121
2017,4,short_delay,37233354.14,0.002084583684295699
2018,1,long_delay,1814053784.83,0.11164574993864827
2018,1,no_delay,14310312405.58,0.8807266762088007
2018,1,short_delay,123935118.21000001,0.0076275738525509946
2018,2,long_delay,503835691.29,0.024838615807219886
2018,2,no_delay,19719286317.47,0.9721418813703773
2018,2,short_delay,61248714.65,0.003019502822402739
2018,3,long_delay,171904188.03,0.016136710823704836
2018,3,no_delay,10176319248.7,0.9552549175667292
2018,3,short_delay,304764641.70000005,0.028608371609565822
2016,4,no_delay,145625283.25,1.0
2017,1,long_delay,4642502.75,0.0022500508302817543
2017,1,no_delay,2050515030.75,0.9938094376883794
2017,1,short_delay,8130409.83,0.003940511481338904
2017,2,long_delay,772172849.18,0.12629350003252116
2017,2,no_delay,5329299580.25,0.871638904976214
2017,2,short_delay,12641511.36,0.0020675949912648504
2017,3,long_delay,49560168.45,0.005197696402774163
2017,3,no_delay,9128859213.48,0.9574026921076125
2017,3,short_delay,356606254.34,0.0373996114896132
2017,4,long_delay,602117839.27,0.031844849096073505
2017,4,no_delay,17882600615.09,0.9457761934496227
2017,4,short_delay,423138117.78000003,0.022378957454303825
2018,1,long_delay,1771943178.32,0.0492834276521549
2018,1,no_delay,33950893697.8,0.9442833346766367
2018,1,short_delay,231301517.55,0.006433237671208453
2018,2,long_delay,297608608.42,0.020999798279643808
2018,2,no_delay,13623259384.07,0.9612816661976264
2018,2,short_delay,251106635.88,0.01771853552272985
2018,3,long_delay,57951870.96,0.00693107777710885
2018,3,no_delay,8242017135.2,0.9857500863736578
2018,3,short_delay,61193979.4,0.007318835849233413
2016,4,no_delay,340045861.76,1.0
2017,1,long_delay,63331979.24,0.011127151871375614
2017,1,no_delay,5626519888.66,0.9885549458541638
2017,1,short_delay,1809392.06,0.0003179022744605002
2017,2,long_delay,134303980.95,0.022718367412865124
2017,2,no_delay,5772543199.91,0.9764621747959551
2017,2,short_delay,4844381.71,0.0008194577911798216
2017,3,long_delay,73846008.49,0.009924838654474428
2017,3,no_delay,7292472549.25,0.9801019029118018
2017,3,short_delay,74206277.06,0.009973258433723734
2017,4,long_delay,1007054246.69,0.07869102205435773
2017,4,no_delay,11455885218.720001,0.8951606324698673
2017,4,short_delay,334635409.07,0.026148345475774923
2018,1,long_delay,2034589215.7,0.1459401510230168
2018,1,no_delay,11736396951.98,0.8418463689972636
2018,1,short_delay,170271268.59,0.012213479979719553
2018,2,long_delay,83143076.52,0.00507409231843636
2018,2,no_delay,16174741911.15,0.9871192782277486
2018,2,short_delay,127917891.38,0.007806629453815101
2018,3,long_delay,35440338.79,0.003666186166855211
2018,3,no_delay,9588983398.33,0.9919487084328101
2018,3,short_delay,42389997.11,0.004385105400334531
2016,4,no_delay,64372797.3,1.0
2017,1,long_delay,7060053.88,0.0022064684193101826
2017,1,no_delay,3191175332.7799997,0.9973334073564794
2017,1,short_delay,1472263.0,0.00046012422421043447
2017,2,long_delay,266207677.23,0.06233331019389259
2017,2,no_delay,3989042728.28,0.9340460814123639
2017,2,short_delay,15462579.28,0.0036206083937434922
2017,3,long_delay,27790288.52,0.0022416476355221855
2017,3,no_delay,11666297676.460001,0.9410383984647644
2017,3,short_delay,703172014.5200001,0.056719953899713245
2017,4,long_delay,741488355.82,0.013138177016169308
2017,4,no_delay,55595030369.34,0.9850692117800564
2017,4,short_delay,101170834.62,0.001792611203774345
2018,1,long_delay,2366515882.44,0.14144725743595887
2018,1,no_delay,13422794884.06,0.802283871223435
2018,1,short_delay,941419297.4,0.056268871340606125
2018,2,long_delay,64535768.720000006,0.0025767591553956318
2018,2,no_delay,24768964672.44,0.9889656194581194
2018,2,short_delay,211823870.53,0.008457621386484919
2018,3,long_delay,55741096.5,0.003372055766305268
2018,3,no_delay,16444124346.83,0.9947867517383507
2018,3,short_delay,30435465.98,0.0018411924953440199
2016,4,no_delay,1209873474.62,1.0
2017,1,long_delay,110381482.63,0.01607520774490796
2017,1,no_delay,6753445238.47,0.9835257926926861
2017,1,short_delay,2739757.02,0.0003989995624057686
2017,2,long_delay,127032068.02999999,0.01984108941875275
2017,2,no_delay,6263554937.22,0.978302215463447
2017,2,short_delay,11887443.05,0.0018566951178003346
2017,3,long_delay,125410766.34,0.008946777931283578
2017,3,no_delay,13731752609.72,0.9796203690631922
2017,3,short_delay,160259131.04000002,0.011432853005524143
2017,4,long_delay,4667876474.86,0.20474178206422422
2017,4,no_delay,18097190915.72,0.7937766002156542
2017,4,short_delay,33779175.07,0.001481617720121577
2018,1,long_delay,1172537942.34,0.0748583777212876
2018,1,no_delay,14347326124.07,0.9159768051025655
2018,1,short_delay,143552347.79,0.009164817176146806
2018,2,long_delay,188079727.7,0.009279241317881725
2018,2,no_delay,19779805075.92,0.9758711731701615
2018,2,short_delay,300984305.06,0.014849585511956639
2018,3,long_delay,120827131.35000001,0.013628227284891917
2018,3,no_delay,8707870798.1,0.9821704866949154
2018,3,short_delay,37248376.27,0.004201286020192638
2016,4,no_delay,41668551.44,1.0
2017,1,no_delay,309594028.23,1.0
2017,2,no_delay,512079267.83000004,0.9947093218379275
2017,2,short_delay,2723656.59,0.00529067816207259
2017,3,long_delay,8920254.799999999,0.013815531569856014
2017,3,no_delay,636748336.01,0.9861844684301441
2017,4,long_delay,5536542.95,0.0029932073663410438
2017,4,no_delay,1798340974.27,0.9722325826765045
2017,4,short_delay,45824916.449999996,0.024774209957154375
2018,1,long_delay,38394459.22,0.008711114237186185
2018,1,no_delay,4362261922.51,0.9897303598358129
2018,1,short_delay,6869242.96,0.0015585259270008537
2018,2,long_delay,8758824.06,0.004951441636058376
2018,2,no_delay,1760185395.3799999,0.9950485583639417
2018,3,long_delay,71185627.6,0.11974667920995823
2018,3,no_delay,523282862.63,0.8802533207900417
